country,date,fatalities,flight_model,location,operator
Puerto Rico,08-08-1975,0,Curtiss C-46F,near Aguadilla-Bo...,Rich
Russia,09-08-1975,11,Ilyushin Il-14M,near Bagdarin,Aeroflot / Leningrad
Canada,09-08-1975,0,Consolidated PB4Y-2 Privateer,Port Hardy A...,Hawkins & Powers
France,14-08-1975,,Nord 262A-32,St. Yan,DGAC/SFACT
P.N. Guinea,14-08-1975,,BN-2A Islander,Naoro Airpor...,Aerial Tours
Turkmenistan,15-08-1975,23,Yakovlev Yak-40,near Krasnovodsk ...,Aeroflot / Azerbaijan
Somalia,16-08-1975,0,Douglas C-47A (DC-3),Bossaso Airp...,Somali Airlines
USA,18-08-1975,3,Consolidated PBY-6A Catalina,"Harlingen, TX",Confederate Air Force
Syria,20-08-1975,126,Ilyushin Il-62,near Damascus Int...,CSA
Colombia,22-08-1975,0,Douglas C-49J-DO,Ipiales Airp...,TANA
Poland,23-08-1975,,Antonov An-2R,Jackowo,ZUA
Tanzania,27-08-1975,0,Douglas C-47B (DC-3),Mtwara Airpo...,East African Airways
Argentina,28-08-1975,4,Lockheed C-130E Hercules,San Miguel d...,Argentine AF
Unknown country,30-08-1975,,Antonov An-2R,,Aeroflot / Belarus
Russia,30-08-1975,0,Tupolev Tu-104B,Novosibirsk-...,Aeroflot / Ukraine
Bolivia,30-08-1975,0,Curtiss C-46F,Trinidad,Trans AC)reos Beni
USA,30-08-1975,10,Fairchild F-27B,near Gambell Airp...,Wien Air Alaska
Germany,01-09-1975,27,Tupolev Tu-134,Leipzig Airp...,Interflug
USA,04-09-1975,0,DHC-3 Otter,Auburn Munic...,Auburn Adventist Academy
Haiti,09-09-1975,0,DHC-6 Twin Otter,Gonaives,Haiti Air Inter
USA,11-09-1975,2,Douglas C-47A (DC-3),"Wakeman, OH",Stoney's Rainbow Lanes & Lounge
Ethiopia,11-09-1975,1,Douglas C-47 (DC-3),near Mota,Ethiopian Airlines
Brazil,13-09-1975,0,Douglas EC-47A,"near Itaparica, BA",Brazilian AF
Spain,15-09-1975,0,Hawker Siddeley HS-121 Trident 1E,Bilbao Airpo...,British Airways
USA,15-09-1975,1,Boeing 727,San Jose Mun...,Continental Air Lines
Puerto Rico,15-09-1975,0,BN-2A-6 Islander,San Juan-Isl...,Dorado Wings
Chile,17-09-1975,9,Douglas C-47A (DC-3),near Ritoque,Chilean Navy
Singapore,17-09-1975,0,Convair CV-240-4,near Singapore-Se...,Asiatic Int. Airways
Yemen,17-09-1975,0,Douglas DC-3,Beihan Airpo...,Alyemda
Russia,18-09-1975,3,Antonov An-2V,near Turukhansk (...,"Aeroflot / Krasnoyarsk, op.for Soviet AF"
Bulgaria,19-09-1975,2,Antonov An-2,within Bulgaria,Unknown
Macedonia,22-09-1975,,Antonov An-2R,Skopje Airpo...,ZUA
Indonesia,24-09-1975,25+ 1,Fokker F-28 Fellowship 1000,near Palembang Ai...,Garuda
Canada,25-09-1975,0,Douglas C-47A (DC-3),La Grande-LG...,Laurentian Air Services
Canada,25-09-1975,3,Douglas C-47A (DC-3),Fort Severn ...,Ilford Riverton
USA,26-09-1975,4,Convair C-131F (CV-340),near Santa Ana-El...,US Navy
Portugal,26-09-1975,11,Nord 2501D Noratlas,near Tancos Air Base,Portuguese AF
USA,27-09-1975,6,Canadair CC-106 Yukon (CL-44),Miami Intern...,AER
Greece,27-09-1975,0,Shorts SC.7 Skyvan,Mikonos,Olympic Airways
Canada,30-09-1975,7,DHC-6 Twin Otter 200,Klua Tan Tan...,Northern Thunderbird Air
Lebanon,30-09-1975,60,Tupolev Tu-154A,near Beirut Inter...,Malev
Colombia,30-09-1975,4,Boeing 727-24C,Barranquilla...,Avianca
Argentina,05-10-1975,0,Boeing 737-287C,Rafaela Aero...,Aerolineas Argentinas
Russia,06-10-1975,,Yakovlev Yak-40,near Kirov Airpor...,Aeroflot / Uralsk
Philippines,07-10-1975,0,BAC One-Eleven,Manila,Philippine Air Lines
Indonesia,07-10-1975,,BN-2A-3 Islander,Sawu Island,Dirgantara Air Services
Russia,10-10-1975,,Antonov An-8,Sverdlovsk-K...,MAP Zhukovski
USA,15-10-1975,9,Grumman TC-4C (G-159 Gulfstream I),Cherry Point...,USMC
Ireland,17-10-1975,0,BN-2A-26 Islander,Inishmore Ai...,Aer Arann
Bolivia,19-10-1975,3,Curtiss C-46A,Trinidad,Aerovias Las Minas
Russia,22-10-1975,6+ 5,Yakovlev Yak-40,near Novgorod Air...,Aeroflot / Latvia
Australia,23-10-1975,11,de Havilland DH-114 Riley Heron 2E/,near Cairns Airpo...,Connair
Mexico,26-10-1975,,GAF Nomad N.22,Mazatlan Air...,GAF
Bolivia,27-10-1975,67,Convair CV-440-12,Cerro Colorado,TAM
Czech Rep.,30-10-1975,75,DC-9-32,near Praha-Ruzyne...,Inex-Adria Aviopromet
Canada,03-11-1975,0,Douglas C-47A (DC-3),near Frobisher Ba...,Kenting Atlas Aviation
Unknown country,05-11-1975,,Douglas C-47B (DC-3),,Spanish AF
Unknown country,05-11-1975,,Douglas C-47A (DC-3),,Spanish AF
Unknown country,05-11-1975,,Douglas C-47B (DC-3),,Spanish AF
USA,12-11-1975,0,Boeing 727-225,Raleigh/Durh...,Eastern Air Lines
USA,12-11-1975,0,DC-10-30CF,New York-Joh...,ONA
Argentina,15-11-1975,0,Fokker F-28 Fellowship 1000,near Concordia Ai...,Aerolineas Argentinas
Canada,15-11-1975,,Douglas C-47 (DC-3),La Grande Ai...,"Nordair, lsf Air Brazeau"
Georgia,17-11-1975,38,Antonov An-24RV,near Gali,Aeroflot / North Kavkaz
Guatemala,18-11-1975,15,Douglas C-47 (DC-3),near El Caoba,Aviateca
Ukraine,20-11-1975,19,Antonov An-24B,near Kharkov Airp...,Aeroflot / Belarus
U.K.,20-11-1975,0+ 6,Hawker Siddeley HS-125-600B,Dunsfold Air...,Hawker Siddeley
Bulgaria,22-11-1975,3,Antonov An-24V,Sofia-Vrazhd...,Balkan Bulgarian
Egypt,25-11-1975,20,Lockheed C-130H Hercules,near El Arish,Israeli AF
Canada,29-11-1975,0,Douglas C-47A (DC-3),Igloolik Air...,Kenting Atlas Aviation
Greece,03-12-1975,0,Boeing 747-123F (SCD),Athens-Ellin...,TMA
Tonga,03-12-1975,,BN-2A-8 Islander,Du Motu,Pacific Resorts
USA,07-12-1975,4,Boeing KC-135A Stratotanker,near Fairbanks-Ei...,USAF
Russia,10-12-1975,0,Antonov An-2R,near Serafimovich,Aeroflot / North Kavkaz
Russia,13-12-1975,0,Antonov An-2R,near Nizhneangarsk,Aeroflot / East Siberia
Uzbekistan,15-12-1975,0,Antonov An-12B,Fergana Airp...,Aeroflot / Yakutsk
USA,16-12-1975,0,Boeing 747-246B,Anchorage In...,JAL
Iceland,20-12-1975,,Douglas C-117D (DC-3),ReykjavC-k-Na...,US Navy
USA,21-12-1975,2,CT-39E Sabreliner,"near Ukiah, CA",US Navy
Philippines,21-12-1975,9,BN-2A-21 Islander,Tacloban (TAC),Philippine Aerotransport
Italy,22-12-1975,0,Boeing 707-331B,Milano-Malpe...,TWA
U.K.,28-12-1975,0,Hawker Siddeley HS-121 Trident 1C,London-Heath...,British Airways
Canada,29-12-1975,2,Beech 99,near Slave Lake A...,Bayview Air Services
Libya,??-DEC-1975,0,Antonov An-12B,Kufrah Airpo...,Balkan Bulgarian
Cambodia,??-???-1975,,BN-2A-6 Islander,Phnom Penh-P...,Khmer Airlines
Unknown country,??-???-1975,,Let L-410A,,Let
Marshall Isl.,??-???-1975,,DHC-4A Caribou,Meck Island,US Army
Unknown country,??-???-1975,,Antonov An-2R,,Aeroflot / Uralsk
Poland,??-???-1975,,Antonov An-2R,,WSK Mielec
Poland,??-???-1975,0,Antonov An-2R,Mielec,PZL-Mielec
Ecuador,??-???-1975,,Dornier Do 28D-1 Skyservant,Quito,Unknown
USA,??-???-1975,,Lockheed P-2H Neptune,"Wenatchee, WA",Black Hills Aviation
Portugal,??-???-1975,0,Nord 2501D Noratlas,unknown,Portuguese AF
Denmark,01-01-1976,0,DC-10-30,KC8benhavn-Ka...,SAS
Saudi Arabia,01-01-1976,81,Boeing 720-023B,near Al Qaysumah,MEA
Turkey,02-01-1976,0,DC-10-30CF,Istanbul-Yes...,"ONA, op.for Saudi Arabian"
USA,03-01-1976,6,Learjet 24A,near Anchorage In...,Winship Air Services
Russia,03-01-1976,61+ 1,Tupolev Tu-124V,near Moskva-Vnuko...,Aeroflot / North Kavkaz
Philippines,05-01-1976,0,DC-8-61,Manila Airpo...,JAL
Tanzania,06-01-1976,,BN-2A-3 Islander,Kimba Ngoron...,Caspair
Indonesia,07-01-1976,0,Vickers 806 Viscount,Manado-Samra...,Mandala Airlines
Philippines,08-01-1976,7,BN-2A-21 Islander,Mactan Island,Philippine Aerotransport
Russia,13-01-1976,0,Antonov An-24B,near Leningrad-Sm...,Aeroflot / Uralsk
Brazil,14-01-1976,1,North American-Rockwell Sabreliner ,"near Recife, PE",FAA
Colombia,15-01-1976,13,Douglas C-54A (DC-4),near Chipaque,El Venado
Malaysia,17-01-1976,0,Handley Page HPR-7 Herald 401,Kuala Lumpur...,Royal Malaysian AF
Bolivia,18-01-1976,7,Douglas C-47 (DC-3),near San Borja-Ca...,Frigorifico Maniqui
Ecuador,20-01-1976,34,Hawker Siddeley HS-748,near Loja,TAME Ecuador
China,21-01-1976,40,Antonov An-24,near Changsha-Hua...,CAAC
France,22-01-1976,5,Dassault Falcon 20C,Rambouillet,French AF
Brazil,22-01-1976,7,Embraer EMB-110C Bandeirante,ChapecC3 Airp...,Transbrasil
Japan,22-01-1976,,Shin Meiwa PS-1,,Japanese Navy
Indonesia,23-01-1976,0,Hawker Siddeley HS-748,Palu Airport...,Bouraq Indonesia
Unknown country,29-01-1976,,Douglas C-47D,,Spanish AF
Kyrgyzstan,30-01-1976,6,Ilyushin Il-18V,near Frunze Airpo...,Aeroflot / Kyrgyzstan
Canada,02-02-1976,0,Douglas C-49J (DC-3),Saint John A...,Atlantic Central Airlines
Colombia,04-02-1976,3,Douglas DC-6A/B,Santa Marta,LAC Colombia
Italy,06-02-1976,0,Learjet 24D,near Bari-Palese ...,Estramed
Spain,06-02-1976,7,Boeing KC-135A Stratotanker,near Cabanillas,USAF
USA,08-02-1976,3,Douglas YC-112A-DO (DC-6),near Los Angeles-...,Mercer Airlines
Russia,09-02-1976,24,Tupolev Tu-104A,Irkutsk Airp...,Aeroflot / West Siberia
Romania,09-02-1976,0,Antonov An-24RV,Bacau Airpor...,Tarom
Chad,16-02-1976,,Douglas C-47A (DC-3),Faya Airport...,Chad AF
USA,22-02-1976,0,Grumman G-1159 Gulfstream II,Burlington I...,FabergC) Inc.
Canada,24-02-1976,2,DHC-6 Twin Otter 200,Yellowknife ...,Gateway Aviation
Nicaragua,25-02-1976,0,Curtiss C-46D,Managua-Las ...,LANICA
Colombia,29-02-1976,1,Saunders ST-27,MedellC-n-Enr...,ACES
Romania,01-03-1976,6,VEB 14P,near Sibiu Airpor...,Tarom
Bolivia,02-03-1976,19,IAI Arava 201,within Southeastern...,TAM
Russia,06-03-1976,111,Ilyushin Il-18E,near Verkhnyaya K...,Aeroflot / Armenia
Russia,10-03-1976,0,Antonov An-24RV,Saratov Airp...,Aeroflot / Privolzhsk
USA,12-03-1976,0,Lockheed L-188AF Electra,Udrivik Lake...,Great Northern Airlines
Angola,13-03-1976,0,Fokker F-27 Friendship 600,Gago Coutinho,Air Zaire
USA,16-03-1976,0,Beech 99A,Poughkeepsie...,Command Airways
Nicaragua,17-03-1976,0,Curtiss C-46A,Puerto Cabez...,LANICA
Cuba,18-03-1976,5,Antonov An-24V,near Havana,Cubana
Cuba,18-03-1976,0,Douglas DC-8-43,near Havana-JosC) ...,"Air Canada, op.for Cubana"
Lebanon,19-03-1976,0,Yakovlev Yak-40S2,Beirut Inter...,Syrian Arab Airlines
Turkmenistan,24-03-1976,6,Ilyushin Il-14LIK,near Ashgabat Air...,Aeroflot / Kazakstan
Laos,24-03-1976,0,Douglas C-47B (DC-3),Vientiane-Wa...,Royal Air Lao
Laos,24-03-1976,0,Douglas C-47A (DC-3),Vientiane-Wa...,Royal Air Lao
Laos,24-03-1976,0,Douglas C-47A (DC-3),Vientiane-Wa...,Royal Air Lao
Laos,24-03-1976,0,Douglas C-54A (DC-4),Vientiane-Wa...,Royal Air Lao
Laos,24-03-1976,0,Douglas R5D-1 (DC-4),Vientiane-Wa...,Royal Air Lao
Laos,24-03-1976,0,Douglas C-54A (DC-4),Vientiane-Wa...,Royal Air Lao
USA,25-03-1976,4,Lockheed L-1329 JetStar I,Chicago-Midw...,International Air Service
Colombia,02-04-1976,5,Douglas C-47 (DC-3),near Puerto Asis,SATENA
USA,05-04-1976,1,Boeing 727-81,Ketchikan In...,Alaska Airlines
Libya,07-04-1976,0,BAC One-Eleven,Benghazi,Philippine Air Lines
USA,09-04-1976,2,Lockheed 18 Lodestar,"Brighton, FL",The Connecticut National Bank
Romania,09-04-1976,2,Antonov An-2,near Cobadin,Aviatia Utilitara
Russia,11-04-1976,,Antonov An-2TP,near Kazachinsk,Aeroflot / East Siberia
Argentina,14-04-1976,34,Avro 748-105 Srs. 1,"near Cutral-CC3 , NE",YPF
Russia,17-04-1976,,Antonov An-2SX,near Kursk,Aeroflot / Uzbekistan
Colombia,22-04-1976,0,Boeing 720-022,near Barranquilla...,US Global of Florida
Russia,22-04-1976,0,Antonov An-2R,near Tula,"Aeroflot, Moscow SPiMVL"
Eritrea,23-04-1976,,Douglas C-47A (DC-3),Massawa Airp...,Ethiopian Airlines
Colombia,24-04-1976,0,Boeing 727-59,BogotC!-Eldor...,Avianca
U.K.,27-04-1976,2,Armstrong Whitworth AW-660 Argosy C,Boscombe Dow...,RAF
U.S. Virgin Isl.,27-04-1976,37,Boeing 727-95,Saint Thomas...,American Airlines
USA,27-04-1976,0,DHC-3 Otter,"Upolu Point, HI",Horizon Air Service
Uganda,28-04-1976,0,DHC-4 Caribou,Entebbe Airp...,Uganda Police
France,30-04-1976,0,DC-10-10,Paris-Orly A...,THY
Algeria,02-05-1976,0,Convair CV-640,Djanet-Inedb...,Air AlgC)rie
Guatemala,02-05-1976,0,Douglas DC-6BF,Rubelsanto A...,TACA
Zambia,03-05-1976,11,DHC-6 Twin Otter 300,near Monze,de Havilland Canada
Philippines,05-05-1976,4,BN-2A-21 Islander,Camuigan,Philippine Aerotransport
D.R. Congo,05-05-1976,1,Dornier Do 28D-1 Skyservant,near Kisangani,Danzer ZaC/re
Spain,09-05-1976,17,Boeing 747-131F,near Madrid,Iran AF
USA,13-05-1976,0,DHC-6 Twin Otter 200,Fairbanks In...,ERA Helicopters
Ukraine,15-05-1976,52,Antonov An-24RV,near Chernigov,Aeroflot / Ukraine
Kazakhstan,16-05-1976,1,Antonov An-2SX,near Semipalatinsk,Aeroflot / Kazakstan
Armenia,19-05-1976,0,Antonov An-2R,near Alaverdi,Aeroflot / Armenia
Belize,19-05-1976,0,Lockheed L-1049H Super Constellatio,Belize City,F & B Livestock
Bahamas,20-05-1976,0,Curtiss C-46,Nassau Inter...,Air Haiti
Canada,20-05-1976,,Douglas C-47 (DC-3),Asbestos Hil...,Survair
Bulgaria,23-05-1976,2,Antonov An-2,Charmanli,Unknown
Philippines,23-05-1976,13,BAC One-Eleven 527FK,Zamboanga Ai...,Philippine Air Lines
Eritrea,31-05-1976,,Douglas C-47B (DC-3),Massawa Airp...,Ethiopian Airlines
Unknown country,01-06-1976,,CASA C-212 Aviocar 100,,Spanish AF
Eq. Guinea,01-06-1976,45,Tupolev Tu-154A,MacC-as Nguem...,Aeroflot / International
Guam,04-06-1976,45+ 1,Lockheed L-188A Electra,near Guam-Agana N...,Air Manila Int.
Malaysia,06-06-1976,11,GAF Nomad N.22B,near Kota Kinabal...,Sabah Air
Russia,06-06-1976,4,Lisunov Li-2,Kama River,MAP Zhukovski
D.R. Congo,07-06-1976,0,DC-10-30,Kinshasa-N'D...,Swissair
Russia,09-06-1976,0,Antonov An-2,near Anadyr,Aeroflot / Magadan
Brazil,11-06-1976,3,Douglas C-47A (DC-3),between Paua...,RICO
Russia,12-06-1976,5,Antonov An-2R,near Nizhneangars...,Aeroflot / East Siberia
Russia,20-06-1976,2,Antonov An-2R,Engels distr...,Aeroflot / Privolzhsk
USA,23-06-1976,0,DC-9-31,Philadelphia...,Allegheny Airlines
Russia,26-06-1976,1,Antonov An-2,Kazan,Aeroflot / Privolzhsk
Lebanon,27-06-1976,1,Boeing 720-047B,Beirut Inter...,MEA
Uganda,27-06-1976,0,Airbus A300B4-203,Entebbe Airp...,Air France
Kazakhstan,27-06-1976,1,Antonov An-2R,"Amangeldy, K...",Aeroflot / Ukraine
Mexico,29-06-1976,4,Learjet 24D,near Mexico City,Construcciones Protexa
Kazakhstan,30-06-1976,3,Antonov An-2R,within Valikhanovsk...,Aeroflot / Central Region
USA,02-07-1976,0,Lockheed L-188A Electra,Boston-Logan...,Eastern Air Lines
Myanmar,03-07-1976,17,Douglas C-47 (DC-3),near Daiku,Burmese AF
Spain,06-07-1976,0,Boeing 727,Palma de Mal...,Libyan Arab Airlines
Russia,11-07-1976,0,Antonov An-2,Sivash Lagoon,Aeroflot / Ukraine
Uzbekistan,14-07-1976,0,Lisunov Li-2,Tashkent-Yuz...,MAP Kazan APO
Russia,15-07-1976,0,Antonov An-2P,near Barnaul,Aeroflot / West Siberia
Russia,17-07-1976,0,Tupolev Tu-104A,near Chita Airpor...,Aeroflot / East Siberia
USA,22-07-1976,5,Volpar Turboliner II,near Dutch Harbor...,Winship Air Services
Russia,23-07-1976,,Antonov An-2R,near Sokol'skoye,"Aeroflot, Moscow SPiMVL"
Canada,23-07-1976,0,DHC-3 Otter,"Nym Lake, ON",Ontario Ministry of Natural Res.
India,24-07-1976,0,Fokker F-27 Friendship 100,Bhubaneswar ...,Indian Airlines
Russia,26-07-1976,0,Antonov An-2R,near Astrakhan,Aeroflot / North Kavkaz
Portugal,28-07-1976,0,BN-2A Islander,CovilhC# Airp...,TAP Regional
Slovakia,28-07-1976,76,Ilyushin Il-18V,near Bratislava-I...,CSA
Iran,02-08-1976,5,Boeing 707-373C,near Tehran-Mehra...,KAL
Oman,03-08-1976,5,BN-2 Defender,near Muscat,Oman AF
Russia,03-08-1976,,Antonov An-2R,near Popovka,Aeroflot / Central Region
Australia,06-08-1976,2,GAF Nomad N.24,Avalon Airpo...,GAF
Mexico,07-08-1976,3,Dassault Falcon 20C,near Chilpancingo,Hansa Jet Corp.
Spain,09-08-1976,12,Douglas C-54E (DC-4),Vejer de la ...,Spanish AF
Kazakhstan,13-08-1976,0,Antonov An-24B,Guryev Airpo...,Aeroflot / Kazakstan
Ecuador,15-08-1976,59,Vickers 785D Viscount,Chimborazo V...,SAETA
Mexico,16-08-1976,0,Boeing 720-047B,Mexico City-...,Avianca
USA,16-08-1976,0,Beech 99,near Bar Harbor A...,Bar Harbor Airlines
Canada,18-08-1976,0,DHC-3 Otter,Ile C  la Cro...,RCMP
Singapore,21-08-1976,0,Convair CV-880,Singapore-Se...,Airtrust Singapore
Egypt,23-08-1976,0,Boeing 737-266,Luxor Airpor...,EgyptAir
Russia,27-08-1976,0,Antonov An-2V,near Beryozovo,Aeroflot / Tyumen
Peru,28-08-1976,6,Canadair CC-106 Yukon (CL-44),near Shanisu River,Aeronaves del Peru
Vietnam,28-08-1976,1,SE-210 Caravelle III,Ho Chi Minh ...,Air France
U.K.,28-08-1976,18,Lockheed C-141A-LM Starlifter,Peterborough,USAF
Greenland,28-08-1976,23,Lockheed C-141A-LM Starlifter,Kangerlussua...,USAF
Mexico,02-09-1976,0,DC-9-15,LC)on Airport...,AeromC)xico
Portugal,03-09-1976,68,Lockheed C-130H Hercules,near Terceira-Laj...,Venezuela AF
Canada,04-09-1976,10,DHC-3 Otter,Abitibi Cany...,Austin Airways
Cyprus,04-09-1976,0,DC-9-33RC,Larnaca Airp...,KLM
Seychelles,04-09-1976,0,BN-2A-3 Islander,Praslin Island,Air MahC)
France,07-09-1976,0,Boeing 707-328,Ajaccio-Camp...,Air France
Canada,07-09-1976,0,Douglas C-47 (DC-3),"near Brockett, BC",Kelowna Flightcraft
Spain,08-09-1976,3,Canadair CL-215,near Pontevedra,Spanish AF
Russia,09-09-1976,46,Antonov An-24RV,near Anapa [Black...,Aeroflot / Belarus
Russia,09-09-1976,18,Yakovlev Yak-40,near Anapa [Black...,Aeroflot / North Kavkaz
Croatia,10-09-1976,63,Hawker Siddeley HS-121 Trident 3B,near Vrbovec,British Airways
Croatia,10-09-1976,113,DC-9-32,near Vrbovec,Inex-Adria Aviopromet
France,10-09-1976,0,Boeing 727,"Gander, Reyk...",TWA
Pakistan,10-09-1976,0,Boeing 737-200,Lahore Airpo...,Indian Airlines
Antarctica,15-09-1976,11,Lockheed SP-2E Neptune,Livingston I...,Argentine Navy
Aruba,16-09-1976,2,Curtiss C-46D,near Aruba,Aerosucre Colombia
India,17-09-1976,0,Douglas C-47A (DC-3),Bhopal Airpo...,Madhya Pradesh Government
Turkey,19-09-1976,154,Boeing 727-2F2,near Isparta,THY
Canada,22-09-1976,1,DHC-6 Twin Otter 100,near Mosher Creek...,Airwest Airlines
Thailand,23-09-1976,,Douglas C-47A (DC-3),Sakon Nakhon...,Thai AF
USA,26-09-1976,15,Boeing KC-135A Stratotanker,"near Alpena, MI",USAF
Brazil,26-09-1976,7,Learjet 25C,near SC#o Paulo-Vi...,Banco Real
USA,26-09-1976,11,Grumman G-1159 Gulfstream II,Hot Springs-...,Johnson & Johnson
Russia,26-09-1976,1+ 4,Antonov An-2P,Novosibirsk,Aeroflot / West Siberia
Spain,??-SEP-1976,,Douglas C-53-DO (DC-3),Madrid-Cuatr...,Spanish AF
Russia,02-10-1976,0,Antonov An-2T,"near Khoito-Gol, ...",Aeroflot / East Siberia
Kenya,04-10-1976,4,Douglas DC-7CF,near Nairobi,Emirates Air Transport
Barbados,06-10-1976,73,Douglas DC-8-43,near Bridgetown I...,Cubana
India,12-10-1976,95,SE-210 Caravelle VI-N,Bombay-Santa...,Indian Airlines
Bolivia,13-10-1976,3+ 88,Boeing 707-131F,near Santa Cruz-E...,"Jet Power, op.for LAB"
Eritrea,13-10-1976,0,Douglas DC-6B,Asmara Inter...,Ethiopian Airlines
Mexico,13-10-1976,5,Beech A100 King Air,near San Luis Potosi,Unknown
Colombia,25-10-1976,36,Douglas C-47 (DC-3),near El Yopal Air...,El Venado
Brazil,28-10-1976,2,Embraer EMB-110C Bandeirante,near Petrolina In...,Nordeste Linhas AC)reas
U.A.E.,28-10-1976,,DHC-4A Caribou,Radum,Abu Dhabi AF
Germany,28-10-1976,0,Ilyushin Il-18,Munich,CSA
Uzbekistan,30-10-1976,0,Ilyushin Il-18V,Tashkent Air...,Aeroflot / Uzbekistan
Egypt,30-10-1976,0,Convair CV-440-88,Cairo Intern...,OMCO Petroleum Co.
Poland,02-11-1976,,Antonov An-2R,RychnC3w,ZUA
Indonesia,04-11-1976,29,Fokker F-27 Friendship 100,near Banjarmasin-...,Bali Int. Air Service
Austria,04-11-1976,0,Tupolev Tu-134A,Wien-Schwech...,LOT
Atlantic Ocean,05-11-1976,2,Douglas DC-3,between Cura...,Inair Panama
Brazil,12-11-1976,0,Cessna 500 Citation I,Rio de Janei...,Taxi AC)reo Jaragua
USA,12-11-1976,0,Dassault Falcon 20E,Naples Airpo...,Reynolds Tobacco
Unknown country,12-11-1976,,Douglas C-47 (DC-3),,Indian AF
USA,16-11-1976,0,DC-9-14,Denver-Stapl...,Texas International
Mexico,18-11-1976,2,Howard 250,Villa de Cas...,Depositor Canales
Portugal,19-11-1976,2,CASA C-212-A2 Aviocar 100,near Lisboa-Porte...,Portuguese AF
D.R. Congo,21-11-1976,5,Lockheed L-100-20 Hercules,near Kisangani,Pacific Western
U.A.E.,22-11-1976,0,Shorts SC.7 Skyvan 3-200,near Das Island,Gulf Air
Germany,22-11-1976,5,MBB HFB-320ECM Hansa Jet,SchwabmC<nchen,German AF
Greece,23-11-1976,50,NAMC YS-11A-500,near Kozani-Phili...,Olympic Airways
Bolivia,23-11-1976,0,Douglas C-47 (DC-3),La Paz-El Al...,Aerolineas La Paz
Russia,28-11-1976,72,Tupolev Tu-104B,near Moskva-Shere...,Aeroflot / Northern
Mexico,30-11-1976,5,Douglas C-117B (DC-3),near Victoria,U.S. Department of Agriculture
Morocco,04-12-1976,,Lockheed C-130H Hercules,near Laayoune-Has...,Moroccan AF
Russia,07-12-1976,0,Yakovlev Yak-40,near Armavir,Aeroflot / Ukraine
USA,09-12-1976,2,Howard 500,Yosemite Nat...,Red River Ranch
Canada,10-12-1976,0,Douglas C-47A (DC-3),Chisasibi Ai...,Austin Airways
USA,12-12-1976,4,DHC-6 Twin Otter 300,Wildwood-Cap...,"Allegheny Commuter, opb Atlantic City Airlines"
Ethiopia,14-12-1976,0,Douglas C-47B (DC-3),Oborso,Ethiopian Airlines
Canada,16-12-1976,0,DHC-6 Twin Otter 100,Juan de Fuca...,Airwest Airlines
USA,16-12-1976,0,Convair CV-880,Miami Intern...,Air Trine Inc
Ukraine,16-12-1976,5,Yakovlev Yak-40,near Zaporozhye A...,Aeroflot / Ukraine
Ukraine,17-12-1976,48,Antonov An-24,near Kiev-Zhulhya...,Aeroflot / Ukraine
Russia,17-12-1976,7,Yakovlev Yak-40,near Ust-Kut Airport,Aeroflot / East Siberia
Russia,18-12-1976,8,Ilyushin Il-14RR,near Yuzhno-Sakha...,Aeroflot / Far East
Iran,21-12-1976,9,Lockheed C-130H Hercules,near Shiraz Airpo...,Iran AF
USA,21-12-1976,0,DC-8,San Francisc...,United Airlines
Russia,21-12-1976,7,Antonov An-22A,near Seshcha,Soviet AF
Thailand,25-12-1976,52+ 19,Boeing 707-366C,near Bangkok-Don ...,EgyptAir
Bolivia,27-12-1976,6,Fairchild C-82A Packet,San RamC3n Ai...,Transportes AC)reos Itenez
Mexico,27-12-1976,0,Lockheed 18 Lodestar,Sinaloa de L...,private
Peru,30-12-1976,24,Douglas C-54A (DC-4),near Trujillo Air...,Faucett
Indonesia,30-12-1976,,BN-2A-3 Islander,Mara,Bali Int. Air Service
Unknown country,??-???-1976,,Convair CV-440-86,,Servicio AC)reo San Francisco
Ukraine,??-???-1976,0,Tupolev Tu-154,Kiev-Borispo...,Aeroflot / International
Ukraine,??-???-1976,,Tupolev Tu-104A,Kiev-Borispo...,Aeroflot / East Siberia
Unknown country,??-???-1976,,Antonov An-2R,,WSK Okecie
Unknown country,??-???-1976,,Antonov An-2R,,ZUA
Unknown country,??-???-1976,,Douglas DC-3C,unknown,Kenting Aviation
Unknown country,??-???-1976,,Antonov An-12B,unknown,Aeroflot / Northern
Czech Rep.,02-01-1977,0,Ilyushin Il-18V,Praha-Ruzyne...,CSA
Czech Rep.,02-01-1977,0,Tupolev Tu-134A,Praha-Ruzyne...,CSA
Mauritania,03-01-1977,,BN-2A-21 Defender,,Mauritanian AF
Brazil,04-01-1977,0,BAC One-Eleven 520FN,SC#o Paulo-Vi...,Transbrasil
Bolivia,06-01-1977,0,Douglas C-47A (DC-3),La Senda,Transportes AC)reos Itenez
USA,06-01-1977,4,Learjet 24B,near Palm Springs...,Jet Avia
USA,06-01-1977,2,Learjet 23,near Flint-Bishop...,Jet Avia
Zimbabwe,06-01-1977,3,Douglas C-47B (DC-3),near Buffalo Rang...,Rhodesian AF
Indonesia,10-01-1977,,BN-2A Trislander Mk.III-2,Samarinda Ai...,Bali Int. Air Service
U.K.,11-01-1977,0,Boeing 747,London-Heath...,TWA
Thailand,11-01-1977,0,Fairchild C-123K Provider,Bangkok-Don ...,Thai AF
U.K.,12-01-1977,0,Beech A100 King Air,"Sturgate, Li...",Marchwiel Plant & Engineering
