country,date,fatalities,flight_model,location,operator
USA,22-05-1947,5,Boeing XC-97,near Dayton-Wrigh...,USAAF
Malta,24-05-1947,0,Avro 685 York C.1,Malta-Luqa A...,RAF
Bolivia,29-05-1947,,Douglas C-47A (DC-3),near Trinidad,LAB
USA,29-05-1947,43,Douglas DC-4,New York-La ...,United Airlines
Iceland,29-05-1947,25,Douglas C-47A (DC-3),HC)C0insfjC6rC0ur,FlugfC)lag Islands
Japan,29-05-1947,41,Douglas C-54D (DC-4),near Atsugi-NAS (...,USAAF
USA,30-05-1947,53,Douglas C-54B (DC-4),"near Bainbridge, MD",Eastern Air Lines
Colombia,30-05-1947,0,Douglas R4D-1 (DC-3),MitC: Airport...,TAERCO
Colombia,30-05-1947,0,Douglas C-47 (DC-3),near Palanquero-G...,Colombian AF
Algeria,31-05-1947,3,Amiot AAC.1 (Junkers Ju-52),Aoulef,Service de Tele. et de Sign.
Australia,03-06-1947,0,Douglas C-47A (DC-3),Schofields A...,Butler Air Transport
France,04-06-1947,3,Amiot AAC.1 (Junkers Ju-52),near GC(menos,Air France
Senegal,07-06-1947,,Amiot AAC.1 (Junkers Ju-52),Dakar-Yoff A...,Air France
Sweden,10-06-1947,0,Douglas C-47A (DC-3),Stockholm-Br...,LOT
Brazil,10-06-1947,6,Avro 691 Lancastrian C.4,Natal Airpor...,FAMA
U.K.,11-06-1947,0,Avro 685 York C.1,Oakington RA...,RAF
USA,13-06-1947,50,Douglas C-54 (DC-4),near Charles Town...,Pennsylvania-Central Airlines
Vietnam,14-06-1947,10,Junkers Ju-52/3m,between Saig...,Unknown
USA,15-06-1947,0,Douglas C-47D,Fort Knox-Go...,USAAF
Philippines,16-06-1947,0,Douglas C-47A (DC-3),near Cebu,Philippine Air Lines
Tajikistan,16-06-1947,3,Lisunov Li-2,near Leninabad Ai...,Aeroflot / Kazakstan
Syria,19-06-1947,14,Lockheed L-049 Constellation,near Mayadine,Pan Am
Ukraine,21-06-1947,8,Lisunov Li-2,Karkinyts'ka...,Aeroflot / Ukraine
Canada,23-06-1947,,Douglas C-47A (DC-3),Hamlin Field...,USAAF
Colombia,24-06-1947,0,Douglas C-47 (DC-3),Ipiales-San ...,VIARCO
USA,27-06-1947,,Douglas R4D-7 (DC-3),"Charleston, WV",US Navy
Kenya,27-06-1947,0,Douglas Dakota IV (DC-3),near Isiolo,RAF
Madagascar,28-06-1947,0,Douglas Dakota IV (DC-3),Antananarivo...,RAF
India,??-JUN-1947,,Douglas C-47 (DC-3),,Mistri Airways
Unknown country,01-07-1947,,Douglas C-47 (DC-3),,TAN
U.K.,01-07-1947,5,Avro 685 York C.1,Oakington RA...,RAF
Cameroon,01-07-1947,13,Amiot AAC.1 (Junkers Ju-52),near EsC)ka,Air France
Russia,01-07-1947,4,Ilyushin Il-12P,Moskva-Vnuko...,Aeroflot / Moscow
Atlantic Ocean,03-07-1947,6,Douglas C-54G (DC-4),near Florida coas...,USAAF
Vietnam,05-07-1947,,Douglas C-47B (DC-3),Saigon,French AF
Ireland,05-07-1947,6,Short Sunderland GR.5,near Inistrahull ...,RAF
USA,09-07-1947,,Douglas R4D-3 (DC-3),Chincoteague...,US Navy
Brazil,11-07-1947,0+ 2,Lockheed C-60A Lodestar,near SC#o Paulo-Ca...,Brazilian AF
Germany,12-07-1947,,Douglas C-47A (DC-3),OberrC6blingen,USAAF
USA,13-07-1947,14,Douglas DC-3C,"near Melbourne, FL",Burke Air Transport
France,15-07-1947,1,Amiot AAC.1 (Junkers Ju-52),Vichy-Charme...,AC)ro Cargo
Vietnam,15-07-1947,,Douglas C-47B (DC-3),Saigon ?,French AF
Iran,16-07-1947,6,Avro 685 York C.1,Az-Zubair,BOAC
Ecuador,16-07-1947,,Ford 5-AT-C Tri-Motor,,Shell Ecuador
USA,20-07-1947,,Lockheed 18 Lodestar,Kotzebue Air...,Alaska Airlines
Argentina,21-07-1947,14+ 3,Douglas C-54A (DC-4),"El Palomar, BA",Argentine AF
USA,23-07-1947,0,Douglas C-54D (DC-4),Saint Joseph...,Seaboard & Western
USA,23-07-1947,0,Douglas C-54D (DC-4),Saint Joseph...,Seaboard & Western
Argentina,24-07-1947,2+ 1,Avro 685 York I,"MorC3n AB, BA",FAMA
U.K.,25-07-1947,0,Avro 685 York C.1,London Airpo...,Skyways
Indonesia,29-07-1947,8,Douglas C-47B (DC-3),near Yogyakarta,Orissa State Government
Argentina,30-07-1947,,Douglas C-47A (DC-3),General Pach...,ZONDA
China,31-07-1947,26,Douglas C-47 (DC-3),within Yumen province,China Air Force
Norway,31-07-1947,0,Douglas C-47B (DC-3),Oslo-Fornebu...,USAAF
Argentina,02-08-1947,11,Avro 691 Lancastrian C.3,Tupungato Mo...,BSAA
Norway,05-08-1947,0,Catalina IVB (PBY-5A),SvolvC&r-Hell...,Vingtor Luftveier
USA,06-08-1947,0,Douglas C-47 (DC-3),Miami Intern...,Indamer
USA,06-08-1947,20,Consolidated PBY-5A Catalina,within Alaska,US Navy
Azerbaijan,06-08-1947,4,Lisunov Li-2,Severo-Vosto...,Aeroflot
USA,08-08-1947,3,Douglas DC-3C,New York-La ...,American Airlines
Sweden,09-08-1947,1,Douglas DC-3F,MalmC6-Bullto...,AB Aerotransport
Brazil,12-08-1947,0,Douglas C-54A (DC-4),Cachoeiro de...,FAMA
Romania,13-08-1947,3,Lisunov Li-2,Bucharest-Ba...,TARS
France,13-08-1947,8,Amiot AAC.1 (Junkers Ju-52),near Chevilly,French AF
USA,14-08-1947,,Fairchild C-82A Packet,"near Cormey, OH",USAAF
USA,21-08-1947,3,Curtiss C-46E,"Hanksville, UT",Slick Airways
U.K.,23-08-1947,4,Avro 689 Tudor 2,near Woodford Air...,UK Ministry of Supply
Bahrain,23-08-1947,10,Short S.25 Sandringham 5,Bahrain Mari...,BOAC
Norway,28-08-1947,35,Short S.25 Sandringham 6,near LC8dingen,DNL
U.K.,28-08-1947,2,Douglas Dakota IV (DC-3),near Westgate,RAF
Canada,29-08-1947,,PBV-1A Canso A (PBY-5A),near Cambridge Ba...,RCAF
Morocco,30-08-1947,1,Amiot AAC.1 (Junkers Ju-52),near El Ajeb,Air Atlas
U.K.,02-09-1947,0,Avro 685 York C.1,Dishforth RA...,RAF
U.K.,02-09-1947,0,Vickers Viking C.2,near Aberdeen-Dyc...,RAF
Greece,03-09-1947,3,Douglas C-47A (DC-3),Voula,Hellenic Airlines
Iraq,04-09-1947,0,Avro 685 York C.1,Habbaniya RA...,RAF
